Citation_Key,Authors,Year,Title,Venue,Priority,Google_Scholar_Search_Query,Found_Yes_No,Actual_Venue_If_Different,Where_Found/Option,Notes,Action_Required
chen2024og,"Chen, Xiaoxuan; Wu, Ziming; Liu, Jian; Zhang, Wei; Wang, Yang",2024,Ontology-Grounded Retrieval-Augmented Generation for Large Language Models,Proceedings of the 2024 Conference on Neural Information Processing Systems,CRITICAL,Ontology-Grounded Retrieval-Augmented Generation Chen NeurIPS 2024,NO,,,SUSPICIOUS: Likely duplicate of Sharma et al. paper (arXiv:2412.15235). Real OG-RAG is sharmaOGRAGOntologyGroundedRetrievalAugmented2024,If NOT found: DELETE and replace all \cite{chen2024og} with \cite{sharmaOGRAGOntologyGroundedRetrievalAugmented2024}
wang2024hypergraphrag,"Wang, Zhen; Liu, Xiaoming; Chen, Yiran; Zhang, Hao",2024,HyperGraphRAG: Enhancing Retrieval-Augmented Generation with Hypergraph Structures,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics,HIGH,HyperGraphRAG Wang ACL 2024,NO,NeurIPS 2025 Main Conference,https://arxiv.org/abs/2503.21322,Check ACL 2024 proceedings on ACL Anthology (aclanthology.org). Generic author names.,If NOT found: DELETE from bibliography
chen2024comprehensive,"Chen, Jiawei; Zhang, Hao; Wang, Lei; Liu, Yang",2024,Comprehensive evaluation framework for ontology-grounded retrieval-augmented generation systems,Proceedings of the Annual Conference on Empirical Methods in Natural Language Processing,HIGH,ontology-grounded retrieval-augmented evaluation Chen EMNLP 2024,NO,,,SUSPICIOUS: Generic title/authors. Suspiciously perfect fit for thesis topic. Check EMNLP 2024 proceedings on ACL Anthology.,If NOT found: DELETE from bibliography
wang2024hyde,"Wang, Xuguang; Li, Yifan; Zhang, Ming",2024,HyDE-RAG: Hypothetical document embeddings for enhanced retrieval-augmented generation,Proceedings of the Association for Computational Linguistics,HIGH,HyDE-RAG Wang 2024,NO,,https://link.springer.com/article/10.1007/s44230-025-00121-6,"SUSPICIOUS: Venue too generic (should specify ACL 2024, NAACL, etc.). HyDE is real technique but verify this specific paper exists.",If NOT found: DELETE or find correct citation
mavromatis2024gnnrag,"Mavromatis, Costas; Karypis, George",2024,GNN-RAG: Graph Neural Networks for Retrieval-Augmented Generation,Proceedings of the 41st International Conference on Machine Learning,MEDIUM,GNN-RAG Mavromatis Karypis ICML 2024,NO,,https://arxiv.org/abs/2405.20139,Karypis is real researcher (University of Minnesota). Check ICML 2024 proceedings (proceedings.mlr.press).,If NOT found: DELETE from bibliography
he2024gretriever,"He, Zheng; Wang, Nan; Zhang, Hanghang; Chen, Wei; Liu, Zhengyang",2024,G-Retriever: Retrieval-Augmented Generation for Textual Graph Understanding,Advances in Neural Information Processing Systems 37,MEDIUM,G-Retriever He NeurIPS 2024,YES,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/efaf1c9726648c8ba363a5c927440529-Abstract-Conference.html,Check NeurIPS 2024 proceedings (papers.nips.cc). G-Retriever sounds plausible.,If NOT found: DELETE from bibliography
zhang2024graphvis,"Zhang, Yuhan; Li, Xinyu; Wang, Jiahao; Chen, Ming; Liu, Haoran",2024,GraphVis: Enhancing Graph Neural Networks with Curriculum Visual-Text Learning,Advances in Neural Information Processing Systems 37,MEDIUM,GraphVis Zhang NeurIPS 2024,YES,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7cb04f510593c9ba30da398f5e0a7e7b-Abstract-Conference.html,Check NeurIPS 2024 proceedings. Curriculum learning is real concept.,If NOT found: DELETE from bibliography
xiongImprovingRetrievalAugmentedGeneration2024,"Xiong, Guangzhi; Jin, Qiao; Wang, Xiao; Zhang, Minjia; Lu, Zhiyong; Zhang, Aidong",2024,Improving Retrieval-Augmented Generation in Medicine with Iterative Follow-up Questions,Biocomputing 2025 (Pacific Symposium on Biocomputing),MEDIUM,Xiong Retrieval-Augmented Generation Medicine PSB 2025,YES,,https://www.worldscientific.com/doi/10.1142/9789819807024_0015,"PSB 2025 was Jan 3-7, 2025. Paper year 2024 for conference 2025 is normal publishing convention. Check PSB proceedings.",If found: VERIFIED and keep
jin2024medrag,"Jin, Zhe; Wang, Sheng; Chen, Hao",2024,MedRAG: Medical knowledge-enhanced retrieval-augmented generation for clinical decision support,Journal of Biomedical Informatics,MEDIUM,MedRAG Jin Journal of Biomedical Informatics 2024,NO,,https://dl.acm.org/doi/10.1145/3696410.3714782,Journal article. Check journal website (sciencedirect.com/journal/journal-of-biomedical-informatics) or PubMed. Note: Missing volume/page numbers in BibTeX.,If NOT found: DELETE or find correct citation. If found: Add volume and page numbers
sarthi2024raptor,"Sarthi, Parth; Abdullah, Salman; Tuli, Aditi; Khanna, Shubh; Goldie, Anna; Manning, Christopher D.",2024,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,Proceedings of the Twelfth International Conference on Learning Representations,LOW,RAPTOR Manning ICLR 2024,YES,,https://openreview.net/forum?id=GN921JHCRw,Christopher Manning (Stanford) is verifiable and well-known researcher. RAPTOR is well-cited paper. Check OpenReview.net for ICLR 2024.,Should be REAL - Manning is prominent researcher
