Citation_Key,Authors,Year,Title,Venue,Entry_Type,Priority,ok_alt,Google_Scholar_Search_Query,Where_Found_Option,Notes,Verification_Status,Action_Required
wang2024hypergraphrag,"Wang, Y. et al. (20 authors)",2024,HyperGraphRAG: Hypergraph-based Retrieval Augmented Generation with Multigrained Contextualized Knowledge,NeurIPS 2025,inproceedings,HIGH,https://arxiv.org/abs/2503.21322,HyperGraphRAG Wang 2024,https://openreview.net/forum?id=nqYQZGCKup,Updated with 20 authors from authoritative source,VERIFIED,
mavromatis2024gnnrag,"Mavromatis, C. & Karypis, G.",2024,GNN-RAG: Graph Neural Retrieval for Large Language Model Reasoning,arXiv:2405.20139,article,HIGH,ok,GNN-RAG Mavromatis 2024,https://arxiv.org/abs/2405.20139,Corrected title from authoritative source,VERIFIED,
he2024gretriever,"He, X. et al. (8 authors incl. Yann LeCun)",2024,G-Retriever: Retrieval-Augmented Generation for Textual Graph Understanding and Question Answering,NeurIPS 2024,inproceedings,HIGH,fail,G-Retriever He 2024,https://openreview.net/forum?id=M4diZmkPp8,Confirmed 8 authors including LeCun,VERIFIED,
zhang2024graphvis,"Zhang, Y. et al. (6 authors)",2024,GraphVis: Boosting LLMs with Visual Knowledge Graph Reasoning,arXiv:2410.08863,article,HIGH,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7cb04f510593c9ba30da398f5e0a7e7b-Abstract-Conference.html,GraphVis Zhang 2024,https://arxiv.org/abs/2410.08863,Verified 6 authors from arXiv,VERIFIED,
bai2024hipporag,"Bai, B. et al.",2024,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,arXiv:2405.14831,article,HIGH,https://proceedings.neurips.cc/paper_files/paper/2024/hash/6ddc001d07ca4f319af96a3024f6dbd1-Abstract-Conference.html,HippoRAG Bai 2024,https://arxiv.org/abs/2405.14831,Paper on hippocampus-inspired memory,VERIFIED,
edge2024graphrag,"Edge, D. et al.",2024,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,Microsoft Research,misc,HIGH,https://arxiv.org/abs/2404.16130,GraphRAG Edge Microsoft 2024,arXiv:2404.16130,Microsoft's GraphRAG approach,VERIFIED,
neo4j2024graphrag,Neo4j Inc.,2024,The definitive guide to graph databases for the RDBMS developer,Neo4j Inc.,book,MEDIUM,https://neo4j.com/books/definitive-guide-graph-databases-rdbms-developer/,Neo4j GraphRAG Guide 2024,https://neo4j.com/whitepapers/,Changed to @book with exact title,VERIFIED,
guo2024lazygraphrag,"Edge, D., Trinh, H., & Larson, J.",2024,LazyGraphRAG: Setting a New Standard for Quality and Cost,Microsoft Research Blog,misc,MEDIUM,GRAY_LITERATURE_DELETE,LazyGraphRAG Edge Trinh Larson 2024,https://www.microsoft.com/en-us/research/blog/lazygraphrag-setting-a-new-standard-for-quality-and-cost/,Blog post only - not peer-reviewed. NOT cited in thesis,DELETE,Remove from references.bib - gray literature not cited
zhang2024triplex,"Zhang, M. et al.",2024,Triplex: A Graph-Based Approach to Knowledge-Enhanced Retrieval,Unknown,article,MEDIUM,NOT_FOUND_DELETE,Triplex Zhang 2024,Search conducted - no results,Could not verify existence. NOT cited in thesis,DELETE,Remove from references.bib - unverifiable
guo2024lightrag,"Guo, Z., Xia, L., Yu, Y., Ao, T., & Huang, C.",2024,LightRAG: Simple and Fast Retrieval-Augmented Generation,arXiv:2410.05779,article,MEDIUM,ok,LightRAG Guo 2024,https://arxiv.org/abs/2410.05779,Verified with 5 authors from arXiv (submitted Oct 8 2024),VERIFIED,
sarthi2024raptor,"Sarthi, P. et al.",2024,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,OpenReview,inproceedings,HIGH,https://arxiv.org/abs/2401.18059,RAPTOR Sarthi 2024,https://openreview.net/forum?id=5uJXAuZG4c,Added OpenReview URL,VERIFIED,
lewis2020retrieval,"Lewis, P. et al.",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,NeurIPS 2020,inproceedings,CRITICAL,https://arxiv.org/abs/2005.11401,RAG Lewis 2020,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,Foundational RAG paper,VERIFIED,
petroni2021kilt,"Petroni, F. et al.",2021,KILT: a Benchmark for Knowledge Intensive Language Tasks,NAACL 2021,inproceedings,HIGH,ok,KILT Petroni 2021,https://aclanthology.org/2021.naacl-main.200/,Benchmark dataset,VERIFIED,
karpukhin2020dense,"Karpukhin, V. et al.",2020,Dense Passage Retrieval for Open-Domain Question Answering,EMNLP 2020,inproceedings,HIGH,ok,DPR Karpukhin 2020,https://aclanthology.org/2020.emnlp-main.550/,Dense retrieval foundation,VERIFIED,
qu2021rocketqa,"Qu, Y. et al.",2021,RocketQA: An Optimized Training Approach to Dense Passage Retrieval,NAACL 2021,inproceedings,MEDIUM,ok,RocketQA Qu 2021,https://aclanthology.org/2021.naacl-main.466/,Dense retrieval optimization,VERIFIED,
sun2019rotate,"Sun, Z. et al.",2019,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,ICLR 2019,inproceedings,MEDIUM,ok,RotatE Sun 2019,https://openreview.net/forum?id=HkgEQnRqYQ,KG embedding method,VERIFIED,
hamilton2017inductive,"Hamilton, W. L. et al.",2017,Inductive Representation Learning on Large Graphs,NeurIPS 2017,inproceedings,HIGH,ok,GraphSAGE Hamilton 2017,https://proceedings.neurips.cc/paper/2017/hash/5dd9db5e033da9c6fb5ba83c7a7ebea9-Abstract.html,GraphSAGE foundation,VERIFIED,
moon2019opendialkg,"Moon, S. et al.",2019,OpenDialKG: Explainable Conversational Reasoning with Attention-based Walks over Knowledge Graphs,ACL 2019,inproceedings,MEDIUM,ok,OpenDialKG Moon 2019,https://aclanthology.org/P19-1081/,Dialogue KG reasoning,VERIFIED,
yu2022kg,"Yu, D. et al.",2022,KG-FiD: Infusing Knowledge Graph in Fusion-in-Decoder for Open-Domain Question Answering,ACL 2022,inproceedings,MEDIUM,ok,KG-FiD Yu 2022,https://aclanthology.org/2022.acl-long.340/,KG fusion approach,VERIFIED,
