proverb_id,kikuyu_text,system,translation,expert_translation,cultural_authenticity,semantic_similarity,context_preservation,translation_fidelity,rouge1_f,rouge2_f,rougeL_f,word_overlap,structural_similarity,overall_quality,quality_grade,recommendations,evaluation_timestamp,error
MW_001,Aikaragia mbia ta njuu ngigi.,Raw GPT-4,One does not hunt game by chasing it into another's homestead.,He looks after his money the way storks pursue locusts.,0.5353683948516845,0.21342098712921143,1.0,0.21210968771121277,0.0,0.0,0.0,0.0,0.043478260869565216,0.2883857486395983,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.056753,
MW_001,Aikaragia mbia ta njuu ngigi.,Traditional RAG,He who breaks the cooking pot will cook in the gourd.,He looks after his money the way storks pursue locusts.,0.5691125869750977,0.29778146743774414,1.0,0.32884415611858975,0.1904761904761905,0.0,0.1904761904761905,0.1111111111111111,0.15789473684210525,0.3427404894315455,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.212630,
MW_001,Aikaragia mbia ta njuu ngigi.,OG-RAG,He guards his wealth like a stork chasing locusts.,He looks after his money the way storks pursue locusts.,0.7949229717254638,0.8623074293136597,1.0,0.59508880628286,0.4210526315789474,0.0,0.4210526315789474,0.1875,0.23529411764705882,0.5262502708891865,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.291219,
MW_002,Andu ni indo.,Raw GPT-4,People are wealth.,People are wealth.,0.8500000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6900000000000001,D,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.347940,
MW_002,Andu ni indo.,Traditional RAG,People are wealth.,People are wealth.,0.8500000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6900000000000001,D,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.407797,
MW_002,Andu ni indo.,OG-RAG,People are the true wealth.,People are wealth.,0.7928589820861816,0.8571474552154541,1.0,0.7441682759920755,0.7499999999999999,0.3333333333333333,0.7499999999999999,0.6,0.6666666666666666,0.577602489431699,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.466109,
MW_003,Bururi uri ngui ndungiciarikira indo.,Raw GPT-4,A country without a leader is like a house where everyone is a cook.,In an unstable country one cannot become wealthy,0.6062185287475585,0.3905463218688965,1.0,0.27938752562906455,0.09090909090909091,0.0,0.09090909090909091,0.058823529411764705,0.05263157894736842,0.340273045469196,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.542302,
MW_003,Bururi uri ngui ndungiciarikira indo.,Traditional RAG,The country that has no owner is destroyed by wealth.,In an unstable country one cannot become wealthy,0.7035583019256593,0.633895754814148,1.0,0.3995770358730047,0.11111111111111112,0.0,0.11111111111111112,0.058823529411764705,0.05263157894736842,0.4212752833258153,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.634846,
MW_003,Bururi uri ngui ndungiciarikira indo.,OG-RAG,Wealth cannot grow in a land of turmoil.,In an unstable country one cannot become wealthy,0.7292157649993896,0.6980394124984741,1.0,0.44074236580303733,0.25,0.0,0.125,0.14285714285714285,0.1875,0.44594613403081884,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.714665,
MW_004,Bururi uri ngui ndungiciarikira indo.,Raw GPT-4,A country without a leader is like a house where everyone is a cook.,In an unstable country one cannot become wealthy.,0.6150911569595336,0.41272789239883423,1.0,0.29462011556222073,0.09090909090909091,0.0,0.09090909090909091,0.058823529411764705,0.10526315789473684,0.3491535032305907,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.793492,
MW_004,Bururi uri ngui ndungiciarikira indo.,Traditional RAG,The country is a beast that does not eat money.,In an unstable country one cannot become wealthy.,0.6828635215759278,0.5821588039398193,1.0,0.4009011062555541,0.11111111111111112,0.0,0.11111111111111112,0.058823529411764705,0.16666666666666666,0.41346079581981504,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.892387,
