Citation_Key,Authors,Year,Title,Venue,Entry_Type,Priority,Google_Scholar_Search_Query,Where_Found_Option,Notes,Verification_Status,Action_Required
wang2024hypergraphrag,"Wang, Y. et al. (20 authors)",2024,HyperGraphRAG: Hypergraph-based Retrieval Augmented Generation with Multigrained Contextualized Knowledge,NeurIPS 2025,inproceedings,HIGH,HyperGraphRAG Wang 2024,https://openreview.net/forum?id=nqYQZGCKup,Updated with 20 authors from authoritative source,VERIFIED,None
mavromatis2024gnnrag,"Mavromatis, C. & Karypis, G.",2024,GNN-RAG: Graph Neural Retrieval for Large Language Model Reasoning,arXiv:2405.20139,article,HIGH,GNN-RAG Mavromatis 2024,https://arxiv.org/abs/2405.20139,Corrected title from authoritative source,VERIFIED,None
he2024gretriever,"He, X. et al. (8 authors incl. Yann LeCun)",2024,G-Retriever: Retrieval-Augmented Generation for Textual Graph Understanding and Question Answering,NeurIPS 2024,inproceedings,HIGH,G-Retriever He 2024,https://openreview.net/forum?id=M4diZmkPp8,Confirmed 8 authors including LeCun,VERIFIED,None
zhang2024graphvis,"Zhang, Y. et al. (6 authors)",2024,GraphVis: Boosting LLMs with Visual Knowledge Graph Reasoning,arXiv:2410.08863,article,HIGH,GraphVis Zhang 2024,https://arxiv.org/abs/2410.08863,Verified 6 authors from arXiv,VERIFIED,None
bai2024hipporag,"Bai, B. et al.",2024,HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,arXiv:2405.14831,article,HIGH,HippoRAG Bai 2024,https://arxiv.org/abs/2405.14831,Paper on hippocampus-inspired memory,VERIFIED,None
edge2024graphrag,"Edge, D. et al.",2024,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,Microsoft Research,misc,HIGH,GraphRAG Edge Microsoft 2024,arXiv:2404.16130,Microsoft's GraphRAG approach,VERIFIED,None
neo4j2024graphrag,Neo4j Inc.,2024,The definitive guide to graph databases for the RDBMS developer,Neo4j Inc.,book,MEDIUM,Neo4j GraphRAG Guide 2024,https://neo4j.com/whitepapers/,Changed to @book with exact title,VERIFIED,None
guo2024lazygraphrag,"Guo, T. et al.",2024,LazyGraphRAG: Setting a New Standard for Quality and Cost,arXiv preprint,article,MEDIUM,LazyGraphRAG Guo 2024,Search needed,Needs URL verification,PENDING,Search and verify on arXiv
zhang2024triplex,"Zhang, M. et al.",2024,Triplex: A Graph-Based Approach to Knowledge-Enhanced Retrieval,Unknown,article,MEDIUM,Triplex Zhang 2024,Search needed,Needs venue verification,PENDING,Search and verify venue
guo2024lightrag,"Guo, Z. et al.",2024,LightRAG: Simple and Fast Retrieval-Augmented Generation,arXiv preprint,article,MEDIUM,LightRAG Guo 2024,Search needed,Needs URL verification,PENDING,Search and verify on arXiv
