proverb_id,kikuyu_text,expert_translation,expert_cultural_meaning,raw_translation,raw_tokens_prompt,raw_tokens_completion,raw_tokens_total,raw_prompt_length,raw_error,trad_rag_translation,trad_rag_tokens_prompt,trad_rag_tokens_completion,trad_rag_tokens_total,trad_rag_prompt_length,trad_rag_retrieved_count,trad_rag_retrieved_ids,trad_rag_error,ograg_translation,ograg_explanation,ograg_tokens_prompt,ograg_tokens_completion,ograg_tokens_total,ograg_prompt_length,ograg_retrieved_count,ograg_retrieved_ids,ograg_concepts,ograg_error,total_tokens,estimated_cost,timestamp
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,Whoever has much always wants more.,One does not hunt game by chasing it into another's homestead.,44,14,58,86,,He who breaks the cooking pot will cook in the gourd.,129,13,142,339,5,"MW_001,MW_002,MW_003,MW_004,MW_006",,He guards his wealth like a stork chasing locusts.,"This proverb uses the imagery of a stork relentlessly pursuing locusts to illustrate the idea of someone who is excessively protective or possessive of their wealth. In Kikuyu culture, this is seen as a sign of greed and an insatiable desire for more wealth. It serves as a cautionary tale against the pitfalls of materialism and the importance of using wealth for the benefit of the community.",883,101,984,3951,5,"MW_001,MW_002,MW_003,MW_004,MW_006",wealth,,1184,0.04736,2025-11-10T22:24:25.579097
MW_002,Andu ni indo.,People are wealth.,,People are wealth.,35,4,39,70,,People are wealth.,125,4,129,337,5,"MW_002,MW_003,MW_004,MW_005,MW_006",,People are the true wealth.,"This proverb emphasizes the Kikuyu cultural belief that wealth is not just material possessions, but also includes social relationships and community standing. The metaphor suggests that people, through their ideas, insights, and opportunities, are the real source of prosperity. It underscores the importance of community and cooperation in wealth creation.",984,73,1057,4421,5,"MW_002,MW_003,MW_004,MW_005,MW_006","ownership,poverty,utonga,wealth,wealth acquisition",,1225,0.049,2025-11-10T22:24:36.109935
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,,A country without a leader is like a house where everyone is a cook.,42,15,57,94,,The country that has no owner is destroyed by wealth.,132,11,143,361,5,"MW_002,MW_003,MW_004,MW_005,MW_006",,Wealth cannot grow in a land of turmoil.,"This proverb emphasizes the importance of stability in a society for wealth creation and prosperity. It suggests that in an environment of conflict or instability, it is difficult for individuals to accumulate wealth, as resources may be wasted or opportunities may be lost. The metaphor of 'growing' wealth underscores the idea that wealth accumulation is a process that requires time, effort, and favorable conditions.",991,89,1080,4445,5,"MW_002,MW_003,MW_004,MW_005,MW_006","ownership,poverty,utonga,wealth,wealth acquisition",,1280,0.0512,2025-11-10T22:24:46.980845
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,Political stability facilitates wealth.,A country without a leader is like a house where everyone is a cook.,42,15,57,94,,The country is a beast that does not eat money.,132,11,143,361,5,"MW_002,MW_003,MW_004,MW_005,MW_006",,"In a land of turmoil, wealth finds no root.","This proverb emphasizes the importance of a stable environment for wealth creation and prosperity. The metaphor of wealth finding no root in a land of turmoil illustrates that without stability, it's difficult for wealth to grow and flourish. This can be interpreted both in terms of material wealth and social capital, as the Kikuyu concept of wealth encompasses both.",991,85,1076,4445,5,"MW_002,MW_003,MW_004,MW_005,MW_006","ownership,poverty,utonga,wealth,wealth acquisition",,1276,0.05104,2025-11-10T22:24:59.391764
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,A poor man is unable to obtain any more than he possesses.,"The things that are ignored while still alive, are mourned when they are gone.",49,17,66,100,,The things that cannot be changed are still alive/they exist.,139,13,152,367,5,"MW_005,MW_002,MW_003,MW_004,MW_006",,The belongings of the weak are not divided while they still breathe.,"This proverb emphasizes the cultural value of respect for the property rights of the vulnerable. It warns against taking advantage of those who may not have the strength or means to defend their possessions. The metaphor of 'breathing' is used to signify life, suggesting that as long as one is alive, their rights should be respected.",998,83,1081,4451,5,"MW_005,MW_002,MW_003,MW_004,MW_006","ownership,poverty,utonga,wealth,wealth acquisition",,1299,0.05196,2025-11-10T22:25:09.099409
MW_006,Cia thuguri itiyuragia ikumbi,Bought things do not fill the granary.,One must work hard to achieve wealth.,The ways of a thief are not a secret to the marketplace.,44,13,57,86,,The fruits of hard work are sweet.,134,8,142,353,5,"MW_006,MW_002,MW_003,MW_004,MW_005",,Purchased goods do not fill the barn.,"This proverb emphasizes the value of hard work and self-reliance in the Kikuyu culture. It suggests that wealth cannot be truly acquired or appreciated when it's simply bought or given, rather than earned through one's own effort. The metaphor of a barn being filled implies the accumulation of wealth or resources over time.",993,80,1073,4437,5,"MW_006,MW_002,MW_003,MW_004,MW_005","ownership,poverty,utonga,wealth,wealth acquisition",,1272,0.05088,2025-11-10T22:25:20.977946
MW_007,Ciira muingi/munene ni ukia.,A long lawsuit brings poverty.,Be quick to forgive.,Many hands make light work.,42,6,48,85,,Many hands make light work.,130,6,136,351,5,"MW_007,MW_002,MW_003,MW_004,MW_005",,A drawn-out dispute drains one's wealth.,"This proverb emphasizes the cultural value of resolving conflicts quickly and amicably. It metaphorically illustrates the negative impact of prolonged disputes on one's material and social wealth, suggesting that they can lead to financial loss and social isolation. The Kikuyu people value community harmony and wealth preservation, hence the encouragement to avoid long, costly disputes.",1002,83,1085,4530,5,"MW_007,MW_002,MW_003,MW_004,MW_005","ownership,poverty,utonga,wealth,wealth acquisition",,1269,0.05076,2025-11-10T22:25:28.350925
MW_008,Ciringi imurikagwo na ingi.,"To get money, you have to spend money.","Use money, make money.",One finger cannot kill a louse.,42,8,50,84,,A small hole is enlarged by much digging.,123,9,132,334,5,"MW_007,MW_008,MW_002,MW_003,MW_004",,"To make money, you must spend money.","This proverb encapsulates the Kikuyu cultural wisdom on wealth acquisition and money management. It suggests that investment is a necessary step towards prosperity. The metaphor of spending to make money underlines the idea that wealth does not come without effort or risk, and that one must be willing to utilize their resources (money) to gain more. This aligns with the Kikuyu cultural concept of 'utonga' where wealth is not just material possessions but also includes social capital.",984,111,1095,4428,5,"MW_007,MW_008,MW_002,MW_003,MW_004","money management,poverty,utonga,wealth,wealth acquisition",,1277,0.05108,2025-11-10T22:25:36.747776
MW_009,Gicigo kia mugunda gitinyihaga.,A piece of land is not a little thing.,"Life has no rest, only toil.",The fence of a homestead is made from the thorns.,42,13,55,88,,The fence of a farm is repaired.,130,8,138,357,5,"MW_009,MW_002,MW_003,MW_004,MW_005",,No plot of land is ever too small.,"This proverb emphasizes the inherent value of land in the Kikuyu culture, no matter its size. It suggests that even a small piece of land can provide sustenance and wealth if worked diligently. The metaphor of land also represents opportunities and resources in life that should not be underestimated or overlooked.",997,74,1071,4448,5,"MW_009,MW_002,MW_003,MW_004,MW_005","ownership,poverty,utonga,wealth,wealth acquisition",,1264,0.05056,2025-11-10T22:25:47.131071
MW_010,Githaka ni ngwatira.,Land is inalienable (from the clan).,Owning property is a right.,A farm is a source of wealth.,38,8,46,77,,The farm is the source of wealth.,122,8,130,335,5,"MW_010,MW_002,MW_003,MW_004,MW_005",,Land is the clan's heart.,"This proverb emphasizes the importance of land ownership within the Kikuyu culture. It is not just a piece of property, but a symbol of identity, belonging, and heritage. The metaphor of the heart signifies that land is vital to the life of the clan, just as the heart is to the body. It also implies that land should not be alienated or taken away from the clan, as it forms the core of their existence and survival.",1002,103,1105,4491,5,"MW_010,MW_002,MW_003,MW_004,MW_005","ownership,poverty,self-reliance,utonga,wealth,wealth acquisition",,1281,0.05124,2025-11-10T22:25:54.162329
