proverb_id,kikuyu_text,expert_translation,ograg_translation,bleu_score
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,He guards his wealth as a stork chases locusts.,9.03
MW_002,Andu ni indo.,People are wealth.,People are the true wealth.,22.96
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,Wealth cannot sprout in a land of turmoil.,4.77
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,Wealth cannot thrive in a land of chaos.,5.67
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,The belongings of the weak are not divided while they still breathe.,7.49
MW_006,Cia thuguri itiyuragia ikumbi,Bought things do not fill the granary.,Purchased goods do not fill the storehouse.,36.56
MW_007,Ciira muingi/munene ni ukia.,A long lawsuit brings poverty.,A drawn-out conflict breeds destitution.,9.65
MW_008,Ciringi imurikagwo na ingi.,"To get money, you have to spend money.","To make wealth, you must first part with some.",8.91
MW_009,Gicigo kia mugunda gitinyihaga.,A piece of land is not a little thing.,No plot of land is too small to cultivate.,16.78
MW_010,Githaka ni ngwatira.,Land is inalienable (from the clan).,Land is the clan's heart.,11.71
MW_011,Gitonga kigiragio iganjo gikaarima,The rich man cannot be prevented from cultivating the “iganjo”he wants.,"Wealth is like a shadow, it grows with the day.",4.03
MW_012,Gitonga kiriaga munyuko.,A wealthy man eats only a dying goat (very thin with tough meat)/undesirable food.,Wealth whispers to its owner.,0.93
MW_013,"Gukiaga na gutonga ititiganaga. GJW G 59, Ba 73) WM",Poverty and riches do not leave each other.,Accumulating and maintaining wealth are two different battles.,5.67
MW_014,Gutiri kiega kiumaga heega.,"There is nothing that is of worth, that is obtained from the comfort corner.",There is no feast that goes without preparation.,5.21
MW_015,"Gutiri mburi itangiracio, tiga inawathe.","Any goat can serve as brideswealth, unless it has a defect.","There's no goat that starts by giving birth, don't rush wealth.",4.07
MW_016,Gutiri munini mukia.,No young person can be considered poor.,There is no great morning.,5.82
MW_017,Gutiri uthuire tiga akiaga.,"A man is poor not because he scorns possessions, but because he possesses nothing.",There is no wealth without toil.,2.16
MW_018,Guthiina ti kuriita,To be poor does not connote being foolish.,Planting is not the same as harvesting.,5.8
MW_019,Guthinga kurugite gutonga.,Virtue is better than riches.,To plant is to pave the path to wealth.,4.99
MW_020,Gutiri mbura itari gitonga kiayo.,There is no rain that does not bring wealth to someone.,There is no rain without its own blessing.,22.61
MW_021,Gutiri ngia itari muthenya wayo.,Every poor person has his day.,No beast roams without its skin.,6.57
MW_022,Gutiri uriragio ni utonga no ukia.,"Nobody grumbles at being rich, only at being poor.",No wealth is complete without peace.,3.71
MW_023,Gwa gitonga gucokagirirwo ni mambura.,The home of a rich man is revisited during a ceremony (especially burial).,The path to wealth is paved with diligence.,2.88
MW_024,Haro ni ya muka uri thiiri,Quarrelling is the hallmark of the woman who has debts.,A mother's field is never barren.,4.41
MW_025,Hinya nduri indo,Strength has no wealth.,Strength is not wealth.,23.64
MW_026,Indo ciene inoragia mundu itina rimwe. W,Other people’s property fattens only one buttock.,"Wealth that is shared enriches the community, not just one person.",3.67
MW_027,Indo ciene iri mutino.,Stolen goods bring misfortune.,Wealth in the morning is poverty by evening.,4.77
MW_029,Indo ni kurimithanio,Wealth comes by cultivating together.,Wealth is a result of hard work.,6.57
MW_030,Indo ni mwene.,Wealth is all about the owner.,Wealth belongs to its owner.,15.21
MW_031,Iroobagia ha muoni.,They (vultures) haunt the yard of a wealthy man.,The one who is always asking does not go unnoticed.,3.42
MW_032,Itonga igiri itiri nyoni.,Two rich persons do not wish each other a bird of ill omen.,Two riches do not make a song.,6.56
MW_033,Kahora kari indo.,Steadiness makes wealth.,Every homestead has its own wealth.,13.13
MW_034,Kigina gitiinikagwo irio hande itari nguru.,The seed-storing calabash should never be drained before the new crop has matured.,A tree that doesn't bear fruit cannot provide a wholesome meal.,2.87
MW_035,Kihoto ni indo.,A fair argument is wealth.,The home is the source of wealth.,12.22
MW_036,Kirema mbeeca ni kigariure. .,That which is beyond the power of money must be manipulated.,A borrowed cloak does not provide lasting warmth.,3.42
MW_037,Kumaatha gutiri hinya ta kuramata.,To acquire wealth is not as difficult as good stewardship.,To possess is not as powerful as to acquire.,17.47
MW_038,Kumaatha gutiri hinya ta kuramata.,To acquire wealth is not as difficult as good stewardship.,To consume without labor is not as satisfying as to consume from labor.,12.57
MW_039,Kuri mwoni na muraata thi.,There is one who finds wealth and one who merely mends the surface of its cracks.,Even the poor man has his day in the sun.,2.58
MW_040,Kuria thiiri wene ni kuriha.,The way of eating a debt is paying it.,To eat alone is to choke.,5.09
MW_041,Mbari ya uri moigaga matikaaga.,The family of the haves often say that they will never lack.,A family that is united will prosper.,4.18
MW_042,Mbeeca itiri mwana kana nyina.,With money there is no child or mother.,"Poverty doesn't spare the child, nor the mother.",9.29
MW_043,Mucii uri mburi ndwagaga kihuno.,A homestead with goats does not lack miscarriages.,A home with goats does not lack a cooking pot.,38.16
MW_044,Mugunda ni mugema wa mwene. W,A farm is the ornament of the owner.,The land is the host of its owner.,14.26
MW_045,Mugunda wene nduinagwo.,Another’s field is not praised.,One does not inherit their own farm.,6.57
MW_046,Mugurira hakuhi nita aheo.,The man who buys something at a place near by is like the man who is given something.,He who avoids work will not taste the fruit of wealth.,2.49
