proverb_id,kikuyu_text,expert_translation,expert_cultural_meaning,expert_business_relevance,expert_teaching,biblical_context,thematic_category,cultural_authenticity,source,source_reference,original_proverb_number,page_number,extraction_date,validation_status,expert_notes
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,,Focus: Money management and financial wisdom,,,wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,"GJW A 5, Ba 4",1,0,2025-10-02,expert_validated,Category: M
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,Whoever has much always wants more.,"Whoever has much always wants more. | Teaching: It teaches that lack of satisfaction with what one has, leads to greed and hunger for more money. It also creates mistrust, such that the person becomes possessive. | Focus: Money management and financial wisdom","It teaches that lack of satisfaction with what one has, leads to greed and hunger for more money. It also creates mistrust, such that the person becomes possessive.",Ecclesiastes 4:4 “Then I saw that all toil and all skill in work come from a man's envy of his neighbor. This also is vanity and a striving after wind.”,wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,"GJW A 5, Ba 4",1,0,2025-10-02,expert_validated,Category: M
MW_002,Andu ni indo.,People are wealth.,,Focus: Wealth creation and prosperity principles,,,wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,"GJW A 19, KW vol.1 pg 311",2,14,2025-10-02,expert_validated,Category: W
MW_002,Andu ni indo.,People are wealth.,,"Teaching: It teaches that wealth emanates from people. Good insights, ideas and opportunities that bring someone prosperity of different kinds, are derived from communicating and working together with people. Bible parallel Proverbs 27:17 “As iron sharpens iron, so one person sharpens another.” | Focus: Wealth creation and prosperity principles","It teaches that wealth emanates from people. Good insights, ideas and opportunities that bring someone prosperity of different kinds, are derived from communicating and working together with people. Bible parallel Proverbs 27:17 “As iron sharpens iron, so one person sharpens another.”",,wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,"GJW A 19, KW vol.1 pg 311",2,14,2025-10-02,expert_validated,Category: W
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,,Focus: Wealth creation and prosperity principles,,,wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,GJW B 8,3,15,2025-10-02,expert_validated,Category: W
MW_003,Cia arume (indo) ciuragira kuingi.,Men’s property gets lost in many places.,,Teaching: This proverb shows that one can spend money for purposes which are not really important. It teaches that carefully planned usage is necessary in order for it to last. | Focus: Wealth creation and prosperity principles,This proverb shows that one can spend money for purposes which are not really important. It teaches that carefully planned usage is necessary in order for it to last.,"Proverbs23:5 ”Cast but a glance at riches, and they are gone, for they will surely sprout wings and fly off to the sky like an eagle.”",business_wisdom,5.0,Margaret_Wambere_Ireri_2014,indo,3,15,2025-10-02,expert_validated,Category: W
MW_004,Cia arume (indo) ciuragira kuingi.,Men’s property gets lost in many places.,,Business wisdom from tradition,,,business_wisdom,5.0,Margaret_Wambere_Ireri_2014,indo,4,0,2025-10-02,expert_validated,Category: MW
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,Political stability facilitates wealth.,"Political stability facilitates wealth. | Teaching: This proverb teaches that a person can only invest successfully in an environment that is stable, socially, economically and politically. One should therefore, choose well in order to prosper. | Focus: Wealth creation and prosperity principles","This proverb teaches that a person can only invest successfully in an environment that is stable, socially, economically and politically. One should therefore, choose well in order to prosper.","Proverbs 29:4 “The king gives stability to the land by justice, But a man who takes bribes overthrows it.”",wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,GJW B 8,4,0,2025-10-02,expert_validated,Category: W
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,,Focus: Wealth creation and prosperity principles,,,business_wisdom,5.0,Margaret_Wambere_Ireri_2014,"GJW C 8 , Ba 18, N24",5,17,2025-10-02,expert_validated,Category: W
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,A poor man is unable to obtain any more than he possesses.,"A poor man is unable to obtain any more than he possesses. | Teaching: It teaches against grabbing/acquiring fraudulently, the property of a poor or disabled person because they cannot fight back. Acquire property through the correct methods. | Focus: Wealth creation and prosperity principles","It teaches against grabbing/acquiring fraudulently, the property of a poor or disabled person because they cannot fight back. Acquire property through the correct methods.","Proverbs 22:22 “Do not exploit the poor because they are poor and do not crush the needy in court,” Joel 3:1-2 “I will gather all nations and bring them down to the Valley of Jehoshaphat] There I will put them on trial for what they did to my inheritance, my people Israel, because they scattered my people among the nations and divided up my land.”",poverty_hardship,5.0,Margaret_Wambere_Ireri_2014,"GJW C 8 , Ba 18, N24",5,17,2025-10-02,expert_validated,Category: W
MW_006,Cia thuguri itiyuragia ikumbi,Bought things do not fill the granary.,,Focus: Wealth creation and prosperity principles,,,business_wisdom,5.0,Margaret_Wambere_Ireri_2014,"GJW C 13, Ba 24, N 28/29",6,18,2025-10-02,expert_validated,Category: W
MW_006,Cia thuguri itiyuragia ikumbi,Bought things do not fill the granary.,One must work hard to achieve wealth.,One must work hard to achieve wealth. | Teaching: Do not hope to become rich without cultivating your fields. It teaches that a person cannot have enough by begging. | Focus: Wealth creation and prosperity principles,Do not hope to become rich without cultivating your fields. It teaches that a person cannot have enough by begging.,"1 Corinthians 15:58 “Therefore, my beloved brethren, be steadfast, immovable, always abounding in the work of the Lord, knowing that your toil is not in vain in the Lord.” Proverbs 12:11 “Those who work their land will have abundant food, but those who chase fantasies have no sense.”",wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,"GJW C 13, Ba 24, N 28/29",6,18,2025-10-02,expert_validated,Category: W
MW_007,Ciira muingi/munene ni ukia.,A long lawsuit brings poverty.,,Focus: Wealth creation and prosperity principles,,,poverty_hardship,5.0,Margaret_Wambere_Ireri_2014,"Ba 29, N 33",7,19,2025-10-02,expert_validated,Category: W
MW_007,Ciira muingi/munene ni ukia.,A long lawsuit brings poverty.,Be quick to forgive.,"Be quick to forgive. | Teaching: It teaches that when disputes arise they should be sorted out at the quickest opportunity, because the persons involved stop focusing on more benefitial endeavours and concentrate on the dispute. The costs involved waste a lot of resources during this period. | Focus: Wealth creation and prosperity principles","It teaches that when disputes arise they should be sorted out at the quickest opportunity, because the persons involved stop focusing on more benefitial endeavours and concentrate on the dispute. The costs involved waste a lot of resources during this period.","Ephesians 4:26 “In your anger do not sin: Do not let the sun go down while you are still angry,”",poverty_hardship,5.0,Margaret_Wambere_Ireri_2014,"Ba 29, N 33",7,19,2025-10-02,expert_validated,Category: W
MW_008,Ciringi imurikagwo na ingi.,"To get money, you have to spend money.",,Focus: Money management and financial wisdom,,,wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,GJW C 30,8,20,2025-10-02,expert_validated,Category: M
MW_008,Ciringi imurikagwo na ingi.,"To get money, you have to spend money.","Use money, make money.","Use money, make money. | Teaching: It teaches that a person must spend money to get wealthy. The more money one invests, the better the chances of getting a higher benefit. One cannot generate money unless they invest. | Focus: Money management and financial wisdom","It teaches that a person must spend money to get wealthy. The more money one invests, the better the chances of getting a higher benefit. One cannot generate money unless they invest.","Matthew 25:17 “So also, the one with two bags of gold gained two more.”",wealth_acquisition,5.0,Margaret_Wambere_Ireri_2014,GJW C 30,8,20,2025-10-02,expert_validated,Category: M
MW_009,Gicigo kia mugunda gitinyihaga.,A piece of land is not a little thing,,Focus: Wealth creation and prosperity principles,,,business_wisdom,5.0,Margaret_Wambere_Ireri_2014,"GJW G 22, Ba 53, N 52, KW vol.1 pg 355",9,22,2025-10-02,expert_validated,Category: W
MW_009,Gicigo kia mugunda gitinyihaga.,A piece of land is not a little thing.,"Life has no rest, only toil.","Life has no rest, only toil. | Teaching: It teaches that the value of land never diminishes whatever its size. Land makes one to toil endlessly in order to get its benefits. It encourages people to fend for themselves. | Focus: Wealth creation and prosperity principles",It teaches that the value of land never diminishes whatever its size. Land makes one to toil endlessly in order to get its benefits. It encourages people to fend for themselves.,"Genesis 26:22 “He moved on from there and dug another well, and no one quarreled over it. He named it Rehoboth, saying, ""Now the LORD has given us room and we will flourish in the land.",work_diligence,5.0,Margaret_Wambere_Ireri_2014,"GJW G 22, Ba 53, N 52, KW vol.1 pg 355",9,22,2025-10-02,expert_validated,Category: W
MW_010,Githaka ni ngwatira.,Land is inalienable (from the clan).,,Focus: Wealth creation and prosperity principles,,,business_wisdom,5.0,Margaret_Wambere_Ireri_2014,GJW G 35,10,23,2025-10-02,expert_validated,Category: W
MW_010,Githaka ni ngwatira.,Land is inalienable (from the clan).,Owning property is a right.,"Owning property is a right. | Teaching: It teaches that the property inherited from family rightfully cannot be denied you; however, a person needs to acquire more from their own effort. | Focus: Wealth creation and prosperity principles","It teaches that the property inherited from family rightfully cannot be denied you; however, a person needs to acquire more from their own effort.","Joshua 1:3 “Every place that the sole of your foot will tread upon I have given to you, just as I promised to Moses”",business_wisdom,5.0,Margaret_Wambere_Ireri_2014,GJW G 35,10,23,2025-10-02,expert_validated,Category: W
