proverb_id,kikuyu_text,expert_translation,expert_cultural_meaning,openai_translation,openai_reasoning,openai_confidence,openai_time,cohere_translation,cohere_reasoning,cohere_confidence,cohere_time,nllb_translation,nllb_confidence,nllb_time,google_translation,google_time,timestamp
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,,A person who does not take risks will not achieve anything.,"The proverb suggests that without taking chances or facing challenges (symbolized by 'mbia' which can mean risks or challenges), one cannot expect to gain or accomplish anything significant (represented by 'ngigi' which implies rewards or achievements). The phrase 'ta njuu' indicates a comparison, emphasizing that just as one must venture out to achieve, so must one take risks in life.",0.85,8.245514869689941,A patient person will always succeed.,"The Kikuyu proverb 'Aikaragia mbia ta njuu ngigi' literally translates to 'Patience puts the bird on the branch.' This proverb emphasizes the virtue of patience and its reward. The image of a bird landing on a branch represents success or achieving a goal. Therefore, the English translation captures the essence of the proverb by stating that a patient person will ultimately achieve success.",0.95,2.4971678256988525,He was a man of many talents.,0.85,1.7541272640228271,Aikharia mbia ta njigi.,0.3927278518676758,2025-10-07T00:03:24.655085
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,Whoever has much always wants more.,A bird does not forget its nest.,"This proverb suggests that one always remembers their roots or origins, similar to how a bird will always return to its nest. It emphasizes the importance of home and heritage in a person's life.",0.9,2.470154047012329,A patient person will overcome all obstacles.,"The Kikuyu proverb 'Aikaragia mbia ta njuu ngigi' literally translates to 'Patience puts stones on top of each other'. The underlying message is that through patience and persistence, one can achieve great things, much like stacking stones one on top of the other. This leads to the English translation 'A patient person will overcome all obstacles'.",0.9,1.999241828918457,He was a man of many talents.,0.85,0.9909250736236572,Aikharia mbia ta njigi.,0.44473719596862793,2025-10-07T00:03:30.561429
MW_002,Andu ni indo.,People are wealth.,,People are like a mirror.,"The Kikuyu proverb 'Andu ni indo' suggests that individuals reflect the qualities, behaviors, and values of those around them, similar to how a mirror reflects images. This translation captures the essence of the proverb, emphasizing the interconnectedness of people and their influence on one another.",0.8,3.019735097885132,A pot is not a home.,"The Kikuyu proverb 'Andu ni indo' literally translates to 'Pot is home.' However, the meaning is metaphorical. In Kikuyu culture, a pot (andu) is used for cooking and storing food, but it doesn't represent a home (indo) in its entirety. Therefore, the proverb emphasizes that something essential (like a pot) doesn't define the whole (like a home). It suggests that just because someone has one important thing (like wealth or a possession) doesn't mean they have everything or are complete.",0.9,2.354046106338501,People are things.,0.85,1.432614803314209,And touch it indo.,0.41266298294067383,2025-10-07T00:03:37.781361
MW_002,Andu ni indo.,People are wealth.,,People are important.,The Kikuyu proverb 'Andu ni indo' emphasizes the value and significance of people in society. The word 'andu' means 'people' and 'indo' translates to 'important' or 'valuable.' This reflects the idea that human relationships and community are central to life.,0.9,3.3761260509490967,A pot is not a home.,"The Kikuyu proverb 'Andu ni indo' literally translates to 'Pot is home.' However, the meaning is metaphorical. In Kikuyu culture, a pot (andu) is used for cooking and storing food, but it doesn't represent a home (indo) which is a much broader concept encompassing family, shelter, and security. Therefore, the proverb highlights the inadequacy of equating a mere container (pot) with the complex idea of a home. The English translation 'A pot is not a home' captures this essence by emphasizing that a pot, while useful, is not a substitute for the multifaceted concept of a home.",0.9,2.9692189693450928,People are things.,0.85,1.136929988861084,And touch it indo.,1.8330368995666504,2025-10-07T00:03:47.097646
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,,A country is not built by one person alone.,"The proverb emphasizes the idea that the development or success of a community or nation requires the collective effort of many individuals rather than just one person. The term 'bururi' refers to a country or community, while 'ngui' implies a singular person, and 'ndungiciarikira indo' suggests the act of building or creating. Thus, the translation captures the essence of collaboration and shared responsibility in nation-building.",0.9,5.016563892364502,A stubborn person will always find an excuse.,"The Kikuyu proverb 'Bururi uri ngui ndungiciarikira indo' can be broken down as follows: 'Bururi' means 'stubbornness' or 'hard-headedness', 'uri ngui' can be translated as 'a person like that' or 'a stubborn person', and 'ndungiciarikira indo' means 'will always find an excuse' or 'will always have a reason'. Therefore, the overall meaning of the proverb is that a stubborn person will always find a way to justify their actions or behavior.",0.9,2.354688882827759,Sleeping with a dog is not a good thing.,0.85,1.5352261066436768,Burundi and I am telling us a god.,1.0199968814849854,2025-10-07T00:03:57.025140
MW_003,Cia arume (indo) ciuragira kuingi.,Men’s property gets lost in many places.,,The words of men (or husbands) are often forgotten.,"The proverb suggests that the statements or promises made by men, particularly in the context of relationships or family, tend to be overlooked or disregarded over time. The use of 'Cia arume' refers to men or husbands, and 'ciuragira kuingi' implies that these words fade or are not remembered. This translation captures the essence of the proverb while maintaining its cultural context.",0.85,3.1785879135131836,A good name is better than great riches.,"The Kikuyu proverb 'Cia arume (indo) ciuragira kuingi' translates literally to 'A good name (even if it is) better than many riches.' The essence of the proverb is to emphasize the value of a positive reputation and honor, which are considered more precious than material wealth. This concept is universal and can be found in many cultures and languages, making the translation straightforward.",0.95,2.150057077407837,The male (indo) is more prone to death.,0.85,1.7399208545684814,CIA ONE (IND) Cirargia Kuingi.,1.6397778987884521,2025-10-07T00:04:05.734338
MW_004,Cia arume (indo) ciuragira kuingi.,Men’s property gets lost in many places.,,The sons of men (or men) are always in pursuit of more.,"The proverb suggests that men (or people in general) are often driven by a desire for more, whether it be wealth, power, or other aspirations. The phrase 'ciuragira kuingi' implies a continuous search or pursuit, which aligns with the idea of striving for more in life. The term 'arume' can refer to men or people, and 'indo' can be interpreted as a general reference to humanity.",0.85,4.402023077011108,A good tree bears many fruits.,"The Kikuyu proverb 'Cia arume (indo) ciuragira kuingi' literally translates to 'The tree with good fruits bears many.' The proverb is comparing a productive tree to a successful or prosperous person. Just as a healthy tree produces an abundance of fruit, a successful individual will have many positive outcomes or benefits for others. ",0.95,1.9449667930603027,The male (indo) is more prone to death.,0.85,1.2281999588012695,CIA ONE (IND) Cirargia Kuingi.,0.41213321685791016,2025-10-07T00:04:13.722611
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,Political stability facilitates wealth.,A country that is not united will not prosper.,"The Kikuyu proverb emphasizes the importance of unity for the success and prosperity of a community or nation. The term 'bururi' refers to 'country' or 'nation,' while 'ngui' implies 'not united' or 'divided.' The phrase 'ndungiciarikira indo' suggests that without unity, progress or prosperity ('indo') cannot be achieved. This captures the essence of the proverb in English.",0.85,3.6838161945343018,A person who does not listen to advice will face the consequences.,"The Kikuyu proverb 'Bururi uri ngui ndungiciarikira indo' literally translates to 'An ear that does not listen will be shown the way by the ground.' This proverb emphasizes the idea that those who ignore advice or guidance will eventually learn the hard way, often facing negative outcomes. The image of the ground showing the way suggests that the consequences will be clear and unavoidable, like stumbling over uneven ground.",0.9,2.2529971599578857,Sleeping with a dog is not a good thing.,0.85,1.2276899814605713,Burundi and I am telling us a god.,1.1290791034698486,2025-10-07T00:04:22.017122
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,,The one who does not taste the food will not know its flavor.,"This translation captures the essence of the proverb, which implies that without experiencing something firsthand, one cannot truly understand or appreciate it. The metaphor of tasting food is commonly used to signify personal experience and knowledge. The structure of the proverb is maintained while conveying its meaning in English.",0.9,2.5577657222747803,A person who is not contented with what they have will always be poor.,The Kikuyu proverb 'Cia kionje itigayagwo kiri muoyo/gitanakua' literally translates to 'The one who is never satisfied with what he/she has will always be poor.' The proverb highlights the futility of constantly desiring more without appreciating what one already has. It encourages contentment and gratitude.,0.95,2.1499881744384766,The brightness is not left alive/untouched.,0.85,1.536038875579834,You have you do it.,0.9342589378356934,2025-10-07T00:04:29.196191
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,A poor man is unable to obtain any more than he possesses.,What is sweet is not easily forgotten.,"The proverb suggests that experiences or things that bring joy or pleasure tend to leave a lasting impression on us. The phrase 'cia kionje' refers to something sweet or enjoyable, while 'itigayagwo' implies that it is not easily forgotten or dismissed. This encapsulates the idea that positive experiences are memorable.",0.9,2.317490816116333,A person who is not contented with what they have will always be poor.,The Kikuyu proverb 'Cia kionje itigayagwo kiri muoyo/gitanakua' literally translates to 'The one who is not satisfied with what he/she has will always be poor/lack'. The proverb highlights the futility of constantly desiring more without appreciating what one already has. It emphasizes the idea that contentment is key to a sense of fulfillment and well-being.,0.95,2.2791380882263184,The brightness is not left alive/untouched.,0.85,1.3279569149017334,You have you do it.,1.1015229225158691,2025-10-07T00:04:36.223217
