proverb_id,kikuyu_text,expert_translation,raw_translation,raw_bleu,trad_rag_translation,trad_rag_bleu,ograg_translation,ograg_bleu
MW_001,Aikaragia mbia ta njuu ngigi.,He looks after his money the way storks pursue locusts.,One does not hunt game by chasing after it.,4.52,He looks after his money the way storks pursue locusts.,100.0,He guards his wealth as a stork chases locusts.,9.03
MW_002,Andu ni indo.,People are wealth.,People are wealth.,100.0,People are wealth.,100.0,People are the true wealth.,22.96
MW_003,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy,"The country is like a beast, it does not vomit out its wealth.",2.63,In an unstable country one cannot become wealthy.,86.33,Wealth cannot sprout in a land of turmoil.,4.77
MW_004,Bururi uri ngui ndungiciarikira indo.,In an unstable country one cannot become wealthy.,A country without a leader is like a house where liquor is brewed.,3.38,In an unstable country one cannot become wealthy.,100.0,Wealth cannot thrive in a land of chaos.,5.67
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The property of an invalid are not distributed while the person is still alive.,Things that are ignored when they are small grow/develop when they are alive.,5.41,The property of an invalid are not distributed while the person is still alive.,100.0,The belongings of the weak are not divided while they still breathe.,7.49
MW_006,Cia thuguri itiyuragia ikumbi,Bought things do not fill the granary.,The ways of a thief make him walk at night.,3.75,Bought things do not fill the granary.,100.0,Purchased goods do not fill the storehouse.,36.56
MW_007,Ciira muingi/munene ni ukia.,A long lawsuit brings poverty.,Many hands make light work.,8.12,A long lawsuit brings poverty.,100.0,A drawn-out conflict breeds destitution.,9.65
MW_008,Ciringi imurikagwo na ingi.,"To get money, you have to spend money.",A small knife is sharpened on a big one.,4.2,"To get money, you have to spend money.",100.0,"To make wealth, you must first part with some.",8.91
MW_009,Gicigo kia mugunda gitinyihaga.,A piece of land is not a little thing.,The fence of the homestead is made from the trees within it.,4.07,A piece of land is not a little thing.,100.0,No plot of land is too small to cultivate.,16.78
MW_010,Githaka ni ngwatira.,Land is inalienable (from the clan).,A farm is a shield.,5.85,Land is inalienable (from the clan).,100.0,Land is the clan's heart.,11.71
MW_011,Gitonga kigiragio iganjo gikaarima,The rich man cannot be prevented from cultivating the “iganjo”he wants.,Wealth that makes noise is eaten while the silent one grows.,4.03,Wealth that is boasted about does not cultivate a field.,3.42,"Wealth is like a shadow, it grows with the day.",4.03
MW_012,Gitonga kiriaga munyuko.,A wealthy man eats only a dying goat (very thin with tough meat)/undesirable food.,Wealth announces itself in a homestead.,1.41,Wealth announces itself.,0.38,Wealth whispers to its owner.,0.93
MW_013,"Gukiaga na gutonga ititiganaga. GJW G 59, Ba 73) WM",Poverty and riches do not leave each other.,Ruling and leading do not go together.,11.59,Rising early and ruling do not make one tired.,9.98,Accumulating and maintaining wealth are two different battles.,5.67
MW_014,Gutiri kiega kiumaga heega.,"There is nothing that is of worth, that is obtained from the comfort corner.",There is no festival that does not come to an end.,5.77,There is no shortcut to a good harvest.,4.85,There is no feast that goes without preparation.,5.21
MW_015,"Gutiri mburi itangiracio, tiga inawathe.","Any goat can serve as brideswealth, unless it has a defect.",There is no sheep that starts bleating and fails to attract the hyena's attention.,2.63,"There is no goat that starts to bleat without a reason, don't ignore it.",3.66,"There's no goat that starts by giving birth, don't rush wealth.",4.07
MW_016,Gutiri munini mukia.,No young person can be considered poor.,There is no great morning.,5.82,There is no great morning.,5.82,There is no great morning.,5.82
MW_017,Gutiri uthuire tiga akiaga.,"A man is poor not because he scorns possessions, but because he possesses nothing.",There is no rest without hard work.,2.42,There is no rain without clouds.,2.16,There is no wealth without toil.,2.16
MW_018,Guthiina ti kuriita,To be poor does not connote being foolish.,Being present is not the same as owning.,5.67,Staying is not being married.,6.48,Planting is not the same as harvesting.,5.8
MW_019,Guthinga kurugite gutonga.,Virtue is better than riches.,Planting is not as hard as governing.,6.57,Planting is easier than governing.,10.68,To plant is to pave the path to wealth.,4.99
MW_020,Gutiri mbura itari gitonga kiayo.,There is no rain that does not bring wealth to someone.,There is no rain without its own benefits.,22.61,There is no rain without its own blessing.,22.61,There is no rain without its own blessing.,22.61
MW_021,Gutiri ngia itari muthenya wayo.,Every poor person has his day.,There is no metal that doesn't have its blacksmith.,4.2,There is no metal that doesn't have its own blacksmith.,3.75,No beast roams without its skin.,6.57
MW_022,Gutiri uriragio ni utonga no ukia.,"Nobody grumbles at being rich, only at being poor.",There is no poverty where there is hard work and determination.,3.39,There is no poverty where there is hard work and perseverance.,3.39,No wealth is complete without peace.,3.71
MW_023,Gwa gitonga gucokagirirwo ni mambura.,The home of a rich man is revisited during a ceremony (especially burial).,The seat of power is maintained by gifts.,3.1,"The seat of power is fought for, not inherited.",3.36,The path to wealth is paved with diligence.,2.88
MW_024,Haro ni ya muka uri thiiri,Quarrelling is the hallmark of the woman who has debts.,The best food is the one that has been cooked at home.,7.35,The farm belongs to the woman who is not there.,15.85,A mother's field is never barren.,4.41
