proverb_id,proverb_number,kikuyu_text,english_translation,cultural_meaning,english_equivalent,source,page_number,primary_theme,extraction_date
GBARRA_0002,2,Ageni eri matiri utugire,Two guests (at the same time) have no welcome.,,,Gbarra G. 1939,1,social,2025-10-27
GBARRA_0006,6,Aka matiri cia ndiiro no cia nyiniko,"Women have no upright words, but only crooked ones The Kikuyu use the proverb to say that women keep no secrets and seldom tell the truth.",Women conceal all that they know not,,Gbarra G. 1939,2,morality,2025-10-27
GBARRA_0010,10,Andu matiui ngamini,Men do not know liberality One does not give without hope of return,,,Gbarra G. 1939,3,wisdom,2025-10-27
GBARRA_0011,11,"Andu matiui ngu, moi ithendu","Me do not know hard firewood, but only lops people put aside hard tasks and devote themselves only to easy ones.",,,Gbarra G. 1939,4,social,2025-10-27
GBARRA_0016,16,Cia athuri inyuagira thutha,The elders drink afterwards (i.e after the others) Elderly people are not in such a hurry as young ones.,,,Gbarra G. 1939,5,conflict,2025-10-27
GBARRA_0036,36,Gakiibatha ni koi ni karithoitha,He who spends his time adorning himself knows he is going to a dance There is a reason for everything,,,Gbarra G. 1939,9,wisdom,2025-10-27
GBARRA_0046,46,Gatundu koragithirie Watatua,"A secret agreement enabled people to kill Watatua Watatua was a powerful Chief, invincible in open combat, who was killed at night by a few men",Secret union means strength.,,Gbarra G. 1939,11,social,2025-10-27
GBARRA_0049,49,Giathi kiriagwo ni kingi,One appointment is eatedn by another Today kills yesterday.,,,Gbarra G. 1939,12,conflict,2025-10-27
GBARRA_0058,58,Githaka kia muici ni gukaana,Lying is the thief’s stronghold.,,,Gbarra G. 1939,13,life,2025-10-27
GBARRA_0071,71,Guciara uru ti kwenda kwa mwene,It is not the mother’s will to have a bad offspring.,,,Gbarra G. 1939,16,morality,2025-10-27
GBARRA_0078,78,Gukuhiriria mbaara tikuo kurua,The fact that you have gone near the battle-field does not mean that you fought.,,,Gbarra G. 1939,17,work,2025-10-27
GBARRA_0079,79,Gukungagwo utuku ti muthenya,Thieves conceal themselves in the night not in the day. The night is a cloak for sinners.,,,Gbarra G. 1939,18,morality,2025-10-27
GBARRA_0090,90,Guthii kuonagia mundu njira.,Travelling teaches men their way.,,,Gbarra G. 1939,20,wisdom,2025-10-27
GBARRA_0104,104,Gutiri muici na mucuthiriria,There is no difference between the thief and the looker-on.,,,Gbarra G. 1939,23,conflict,2025-10-27
GBARRA_0105,105,Gutiri muki urehage urugari,Nobody entering a hut pays for the heart he will enjoy in it. Only the owner of the hut had the drudgery of carrying home the firewood; the,visitor does not know the cost of the fire he is enjoying. Metaphorically the proverb is used to say that he who enters a house cannot realise the troubles of the occupants. None knows the weight of another’s burden.,,Gbarra G. 1939,23,family,2025-10-27
GBARRA_0116,116,Gutiri njamba irumaga imera igiri,No prepotent man will insult other people for two consecutive seasons. Prepotence comes quickly to an end.,,,Gbarra G. 1939,25,social,2025-10-27
