proverb_id,kikuyu_proverb,og_rag_translation,traditional_rag_translation,raw_llm_translation,expert_translation,cultural_context,business_scenario,complexity_level
MW_001,Aikaragia mbia ta njuu ngigi.,He guards his wealth like a stork chasing locusts.,He who breaks the cooking pot will cook in the gourd.,One does not hunt game by chasing it into another's homestead.,He looks after his money the way storks pursue locusts.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_002,Andu ni indo.,People are the true wealth.,People are wealth.,People are wealth.,People are wealth.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_003,Bururi uri ngui ndungiciarikira indo.,Wealth cannot grow in a land of turmoil.,The country that has no owner is destroyed by wealth.,A country without a leader is like a house where everyone is a cook.,In an unstable country one cannot become wealthy,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_004,Bururi uri ngui ndungiciarikira indo.,"In a land of turmoil, wealth finds no root.",The country is a beast that does not eat money.,A country without a leader is like a house where everyone is a cook.,In an unstable country one cannot become wealthy.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,The belongings of the weak are not divided while they still breathe.,The things that cannot be changed are still alive/they exist.,"The things that are ignored while still alive, are mourned when they are gone.",The property of an invalid are not distributed while the person is still alive.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_006,Cia thuguri itiyuragia ikumbi,Purchased goods do not fill the barn.,The fruits of hard work are sweet.,The ways of a thief are not a secret to the marketplace.,Bought things do not fill the granary.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_007,Ciira muingi/munene ni ukia.,A drawn-out dispute drains one's wealth.,Many hands make light work.,Many hands make light work.,A long lawsuit brings poverty.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_008,Ciringi imurikagwo na ingi.,"To make money, you must spend money.",A small hole is enlarged by much digging.,One finger cannot kill a louse.,"To get money, you have to spend money.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_009,Gicigo kia mugunda gitinyihaga.,No plot of land is ever too small.,The fence of a farm is repaired.,The fence of a homestead is made from the thorns.,A piece of land is not a little thing.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_010,Githaka ni ngwatira.,Land is the clan's heart.,The farm is the source of wealth.,A farm is a source of wealth.,Land is inalienable (from the clan).,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
